Results of initialisedConsistencyLeiden on graphs generated using MergingSplitting
n_graphs, step_size, k_gen, density, seed, k_cluster, modularity, consistency, iterations
32, 2, 7, 0.5, 1, 0, 0.3193285658987008, 0.7207105664211328, 1
32, 2, 7, 0.5, 0, 0, 0.323713954395168, 0.7244253238506478, 1
32, 2, 7, 0.5, 2, 0, 0.32356221893060944, 0.7390462280924562, 1
32, 2, 7, 0.5, 0, 0.035673993347252395, 0.3232632946135071, 0.74629318008636, 1
32, 2, 7, 0.5, 1, 0.035673993347252395, 0.3179047769341636, 0.7522026606553212, 1
32, 2, 7, 0.5, 2, 0.049787068367863944, 0.32384469035245816, 0.765041592583185, 1
32, 2, 7, 0.5, 2, 0.042143843509276406, 0.32432285774373626, 0.766256032512065, 1
32, 2, 7, 0.5, 0, 0.049787068367863944, 0.32299810148749314, 0.7547823533147066, 1
32, 2, 7, 0.5, 1, 0.042143843509276406, 0.3182226923556774, 0.7550284163068325, 1
32, 2, 7, 0.5, 0, 0, 0.33024785095032694, 0.7200319088138175, 2
32, 2, 7, 0.5, 1, 0, 0.32670052658067644, 0.7168092773685547, 2
32, 2, 7, 0.5, 1, 0.049787068367863944, 0.3186398658778615, 0.7605449898399796, 1
32, 2, 7, 0.5, 2, 0, 0.3294765683054657, 0.73432737490475, 2
32, 2, 7, 0.5, 0, 0.035673993347252395, 0.3298015195446378, 0.7415941706883412, 2
32, 2, 7, 0.5, 1, 0.035673993347252395, 0.32618785406669804, 0.7435785496570991, 2
32, 2, 7, 0.5, 2, 0.049787068367863944, 0.3309558877471091, 0.7648431546863094, 2
32, 2, 7, 0.5, 2, 0.042143843509276406, 0.33061923304291174, 0.766133001016002, 2
32, 2, 7, 0.5, 0, 0.049787068367863944, 0.330205835553696, 0.749531686563373, 2
32, 2, 7, 0.5, 1, 0.0820849986238988, 0.31617288998247456, 0.7753444881889764, 1
32, 2, 7, 0.5, 2, 0.0820849986238988, 0.3210523386534786, 0.7944262763525527, 1
32, 2, 7, 0.5, 0, 0, 0.33361916758366766, 0.7197540957581914, 3
32, 2, 7, 0.5, 1, 0, 0.3307706229113765, 0.7176982791465583, 3
32, 2, 7, 0.5, 2, 0, 0.3316569061193651, 0.7326247777495555, 3
32, 2, 7, 0.5, 1, 0.042143843509276406, 0.32729277434979287, 0.7471504318008637, 2
32, 2, 7, 0.5, 0, 0.05881647164242988, 0.32087701146412084, 0.7667005334010667, 1
32, 2, 7, 0.5, 1, 0.049787068367863944, 0.32650533037818463, 0.75749301498603, 2
32, 2, 7, 0.5, 1, 0.05881647164242988, 0.3169706579335123, 0.7645732791465583, 1
32, 2, 7, 0.5, 0, 0.0820849986238988, 0.32095344457589164, 0.7868816675133352, 1
32, 2, 7, 0.5, 2, 0.06948345122280154, 0.32156192591011074, 0.7885048895097794, 1
32, 2, 7, 0.5, 2, 0.035673993347252395, 0.3235188720030877, 0.7648391859283717, 1
32, 2, 7, 0.5, 0, 0.035673993347252395, 0.3325273946026742, 0.7395701041402082, 3
32, 2, 7, 0.5, 1, 0.06948345122280154, 0.31717595250707437, 0.7634342456184912, 1
32, 2, 7, 0.5, 1, 0.035673993347252395, 0.3288369952316085, 0.7439555816611629, 3
32, 2, 7, 0.5, 0, 0.09697196786440505, 0.3208581478915826, 0.7721734505969012, 1
32, 2, 7, 0.5, 2, 0.042143843509276406, 0.33269934965875747, 0.7666965646431292, 3
32, 2, 7, 0.5, 2, 0.049787068367863944, 0.3334849882373117, 0.7649304673609346, 3
32, 2, 7, 0.5, 0, 0.049787068367863944, 0.333469073653041, 0.7476822453644907, 3
32, 2, 7, 0.5, 1, 0.0820849986238988, 0.32410327559900093, 0.7708637604775209, 2
32, 2, 7, 0.5, 2, 0.0820849986238988, 0.32706002925624594, 0.7936166497332995, 2
32, 2, 7, 0.5, 0, 0, 0.33562466234287497, 0.7191825946151893, 4
32, 2, 7, 0.5, 1, 0, 0.33206421125725916, 0.7174958724917451, 4
32, 2, 7, 0.5, 1, 0.049787068367863944, 0.32886092285184587, 0.7575644526289054, 3
32, 2, 7, 0.5, 1, 0.042143843509276406, 0.3301123761219514, 0.748483934467869, 3
32, 2, 7, 0.5, 2, 0, 0.3334649004897222, 0.7320929641859282, 4
32, 2, 7, 0.5, 1, 0.09697196786440505, 0.31572009387958744, 0.7783845567691133, 1
32, 2, 7, 0.5, 0, 0.05881647164242988, 0.3270025062578245, 0.7675577851155702, 2
32, 2, 7, 0.5, 0, 0.042143843509276406, 0.3245029613560544, 0.7527344742189482, 1
32, 2, 7, 0.5, 1, 0.05881647164242988, 0.32494422983711174, 0.7540759144018289, 2
32, 2, 7, 0.5, 0, 0.0820849986238988, 0.32810892230177874, 0.7888938277876557, 2
32, 2, 7, 0.5, 0, 0.035673993347252395, 0.3346352627015316, 0.7378913195326391, 4
32, 2, 7, 0.5, 1, 0.06948345122280154, 0.3264011198268423, 0.7584177355854713, 2
32, 2, 7, 0.5, 1, 0.035673993347252395, 0.3311616788621596, 0.7388716027432053, 4
32, 2, 7, 0.5, 0, 0.09697196786440505, 0.32848820837388526, 0.7675974726949455, 2
32, 2, 7, 0.5, 2, 0.06948345122280154, 0.3288805592361795, 0.7917751460502922, 2
32, 2, 7, 0.5, 2, 0.049787068367863944, 0.33487889412304844, 0.7647002794005585, 4
32, 2, 7, 0.5, 2, 0.042143843509276406, 0.334748713652649, 0.7640533718567437, 4
32, 2, 7, 0.5, 0, 0.049787068367863944, 0.33573160780634015, 0.7454041783083565, 4
32, 2, 7, 0.5, 1, 0.0820849986238988, 0.32788077737264676, 0.7669426276352553, 3
32, 2, 7, 0.5, 2, 0.0820849986238988, 0.32992330487639654, 0.7960931546863091, 3
32, 2, 7, 0.5, 1, 0.042143843509276406, 0.33172306500915527, 0.7472417132334263, 4
32, 2, 7, 0.5, 0, 0, 0.33698398446374134, 0.7178054356108712, 5
32, 2, 7, 0.5, 1, 0.049787068367863944, 0.3302255918264992, 0.7564452628905258, 4
32, 2, 7, 0.5, 1, 0, 0.3331974144401498, 0.7185991871983745, 5
