#Results of initialisedConsistencyLeiden on graphs generated using GirvanNewmanBenchmark
#n_graphs, step_size, k_gen, density, k_cluster, modularity, consistency
32, 2, 7, 0.5, 0, 0.3425348256081748, 0.7213455676911353
32, 2, 7, 0.5, 0.035673993347252395, 0.3439514856546432, 0.7424355473710947
32, 2, 7, 0.5, 0.049787068367863944, 0.3426171627038422, 0.755945199390399
32, 2, 7, 0.5, 0.06948345122280154, 0.34225323317040446, 0.7638827152654306
32, 2, 7, 0.5, 0.09697196786440505, 0.34481206095900185, 0.7756064262128525
32, 2, 7, 0.5, 0.1353352832366127, 0.34293704210423526, 0.79748221996444
32, 2, 7, 0.5, 0.18887560283756183, 0.3414005726935798, 0.832371570993142
32, 2, 7, 0.5, 0.26359713811572677, 0.33568858681209185, 0.8633715392430785
32, 2, 7, 0.5, 0.36787944117144233, 0.3266243432057249, 0.8917799085598171
32, 2, 7, 0.5, 0.513417119032592, 0.30825305795516594, 0.90626587503175
32, 2, 7, 0.5, 0.7165313105737893, 0.20917381973126306, 0.9760406083312166
32, 2, 7, 0.5, 1.0, 0.17937940307767464, 0.9977536830073661
32, 2, 7, 0.5, 1.3956124250860895, 0.17392543833401877, 0.999745999491999
32, 2, 7, 0.5, 1.9477340410546757, 0.17354275069793657, 1.0
32, 2, 7, 0.5, 2.718281828459045, 0.17126626947733403, 1.0
32, 2, 7, 0.5, 3.7936678946831774, 0.17126626947733403, 1.0
32, 2, 7, 0.5, 5.29449005047003, 0.17668887733923377, 1.0
32, 4, 7, 0.5, 0, 0.34266103121324765, 0.7043394399288798
32, 4, 7, 0.5, 0.035673993347252395, 0.3336979239782847, 0.686984061468123
32, 4, 7, 0.5, 0.049787068367863944, 0.33851409242301383, 0.711995173990348
32, 4, 7, 0.5, 0.06948345122280154, 0.3431760897181968, 0.7398717297434595
32, 4, 7, 0.5, 0.09697196786440505, 0.34408572494333284, 0.7496507493014986
32, 4, 7, 0.5, 0.1353352832366127, 0.33766953169569935, 0.7564889192278385
32, 4, 7, 0.5, 0.18887560283756183, 0.337789388474525, 0.7818016573533147
32, 4, 7, 0.5, 0.26359713811572677, 0.33325848404762826, 0.8062095186690372
32, 4, 7, 0.5, 0.36787944117144233, 0.32916289442221575, 0.8421029654559311
32, 4, 7, 0.5, 0.513417119032592, 0.3127454212327246, 0.8640025717551434
32, 4, 7, 0.5, 0.7165313105737893, 0.21088505805433463, 0.9691270320040639
32, 4, 7, 0.5, 1.0, 0.1734037374506185, 0.9977854330708663
32, 4, 7, 0.5, 1.3956124250860895, 0.1702435454227889, 0.999353092456185
32, 4, 7, 0.5, 1.9477340410546757, 0.17289617718136382, 1.0
32, 4, 7, 0.5, 2.718281828459045, 0.1717940132532329, 1.0
32, 4, 7, 0.5, 3.7936678946831774, 0.17491336718022815, 1.0
32, 4, 7, 0.5, 5.29449005047003, 0.1730735482938333, 1.0
