Results of consistencyLeiden2 on graphs generated using TestCreationDestruction
n_graphs, step_size, k_gen, density, seed, k_cluster, modularity, consistency, iterations
32, 2, 7, 0.5, 2, 0, 0.34424581863217407, 0.7624261811023623, 1
32, 2, 7, 0.5, 1, 0, 0.3405826990155117, 0.7751103314706631, 1
32, 2, 7, 0.5, 0, 0, 0.345259917320148, 0.7556951676403355, 1
32, 2, 7, 0.5, 2, 0, 0.3544342478349679, 0.7588582677165355, 2
32, 2, 7, 0.5, 1, 0, 0.3507586426207674, 0.7689349441198882, 2
32, 2, 7, 0.5, 0, 0, 0.35665627039700726, 0.7530043497586996, 2
32, 2, 7, 0.5, 2, 0, 0.3566736610813457, 0.7557586677673357, 3
32, 2, 7, 0.5, 0, 0, 0.35929320101060197, 0.7504524384048767, 3
32, 2, 7, 0.5, 1, 0, 0.3531948978090094, 0.7692564135128271, 3
32, 2, 7, 0.5, 2, 0, 0.3582724553651526, 0.7522383794767589, 4
32, 2, 7, 0.5, 0, 0, 0.3605178858446489, 0.7511112522225045, 4
32, 2, 7, 0.5, 1, 0, 0.35431602179007315, 0.7662401574803147, 4
32, 2, 7, 0.5, 2, 0, 0.35898574863164107, 0.7512858775717555, 5
32, 2, 7, 0.5, 0, 0, 0.3610050940248823, 0.7515636906273814, 5
32, 2, 7, 0.5, 1, 0, 0.3553892504881004, 0.7645018415036829, 5
32, 2, 7, 0.5, 2, 0, 0.35951273772323333, 0.7507104076708153, 6
32, 2, 7, 0.5, 0, 0, 0.3614165027748449, 0.7497896558293117, 6
32, 2, 7, 0.5, 1, 0, 0.35583138388115954, 0.7631921513843026, 6
32, 2, 7, 0.5, 2, 0, 0.35997563133367555, 0.7478290894081788, 7
32, 2, 7, 0.5, 0, 0, 0.36181778073246296, 0.7510239395478792, 7
32, 2, 7, 0.5, 1, 0, 0.3562044531673093, 0.7617514922529843, 7
32, 2, 7, 0.5, 2, 0, 0.36032745184061765, 0.7480195897891796, 8
32, 2, 7, 0.5, 0, 0, 0.36202005799825765, 0.7521272542545087, 8
32, 2, 7, 0.5, 1, 0, 0.3566298015208354, 0.7622991808483617, 8
32, 2, 7, 0.5, 2, 5.29449005047003, 0.16288678756312475, 0.9806126174752353, 1
32, 2, 7, 0.5, 1, 5.29449005047003, 0.16120297778514286, 0.9806403987807978, 1
32, 2, 7, 0.5, 0, 5.29449005047003, 0.16499063294583846, 0.9800371475742956, 1
32, 2, 7, 0.5, 2, 3.7936678946831774, 0.18733358863571636, 0.9748579184658367, 1
32, 2, 7, 0.5, 0, 3.7936678946831774, 0.1904852611241047, 0.9740522606045207, 1
32, 2, 7, 0.5, 1, 3.7936678946831774, 0.1841104051283762, 0.9751039814579627, 1
32, 2, 7, 0.5, 2, 2.718281828459045, 0.2148458380186057, 0.9675474663449327, 1
32, 2, 7, 0.5, 0, 2.718281828459045, 0.21541508463815112, 0.9672934658369318, 1
32, 2, 7, 0.5, 1, 2.718281828459045, 0.21275769779970563, 0.9675911226822455, 1
32, 2, 7, 0.5, 2, 5.29449005047003, 0.16325122979810364, 0.9808507429514864, 2
32, 2, 7, 0.5, 2, 1.9477340410546757, 0.24688983570468295, 0.9545735966471932, 1
32, 2, 7, 0.5, 1, 5.29449005047003, 0.1620972548887838, 0.9807197739395481, 2
32, 2, 7, 0.5, 0, 5.29449005047003, 0.16557590107511055, 0.9802435229870463, 2
32, 2, 7, 0.5, 0, 1.9477340410546757, 0.24497869984189966, 0.9553832232664462, 1
32, 2, 7, 0.5, 1, 1.9477340410546757, 0.24165225780444996, 0.9557999428498857, 1
32, 2, 7, 0.5, 2, 1.3956124250860895, 0.27182494185182143, 0.9392343472186944, 1
32, 2, 7, 0.5, 0, 1.3956124250860895, 0.2693879230262798, 0.940738506477013, 1
32, 2, 7, 0.5, 1, 1.3956124250860895, 0.267254929467481, 0.941571945643891, 1
32, 2, 7, 0.5, 2, 3.7936678946831774, 0.18934170976969836, 0.9747626682753363, 2
32, 2, 7, 0.5, 2, 5.29449005047003, 0.16327668751200702, 0.9809182118364242, 3
32, 2, 7, 0.5, 2, 1.0, 0.2912643054162454, 0.9242006921513842, 1
32, 2, 7, 0.5, 1, 1.0, 0.2851058047149246, 0.9268954787909577, 1
32, 2, 7, 0.5, 1, 3.7936678946831774, 0.187212477235086, 0.9749849187198373, 2
32, 2, 7, 0.5, 0, 3.7936678946831774, 0.19208486340058462, 0.9741475107950213, 2
32, 2, 7, 0.5, 0, 1.0, 0.2899055266809095, 0.9248912560325118, 1
32, 2, 7, 0.5, 1, 5.29449005047003, 0.1628068826825633, 0.9806919926339855, 3
32, 2, 7, 0.5, 2, 0.7165313105737893, 0.3044370094967815, 0.9093337249174495, 1
32, 2, 7, 0.5, 1, 0.7165313105737893, 0.301844435837871, 0.9091590995681994, 1
32, 2, 7, 0.5, 0, 5.29449005047003, 0.16563437733325972, 0.9803030543561091, 3
32, 2, 7, 0.5, 0, 0.7165313105737893, 0.3039599805411547, 0.9077700342900684, 1
32, 2, 7, 0.5, 2, 2.718281828459045, 0.2190718415149455, 0.9669878714757432, 2
32, 2, 7, 0.5, 2, 0.36787944117144233, 0.3263026913683405, 0.8710709296418593, 1
32, 2, 7, 0.5, 1, 2.718281828459045, 0.21683711089673682, 0.9672656845313692, 2
32, 2, 7, 0.5, 0, 0.513417119032592, 0.31686381986141027, 0.889263716027432, 1
32, 2, 7, 0.5, 2, 0.513417119032592, 0.3168821158283552, 0.8912639700279401, 1
